,Provider,Region,Location,CO2e (metric ton/kWh),Source,w,p,Country,NERC Region,offsetRatio
0,Google Cloud Storage,us-central1,Iowa,0.000479,Google,0.65,1.1,,,100
1,Google Cloud Storage,us-east1,South Carolina,0.0005,Google,0.65,1.1,,,100
2,Google Cloud Storage,us-east4,Northern Virginia,0.000383,Google,0.65,1.1,,,100
3,Google Cloud Storage,us-west1,Oregon,0.000117,Google,0.65,1.1,,,100
4,Google Cloud Storage,us-west2,Los Angeles,0.000248,Google,0.65,1.1,,,100
5,Google Cloud Storage,us-west3,Salt Lake City,0.000561,Google,0.65,1.1,,,100
6,Google Cloud Storage,us-west4,Las Vegas,0.000491,Google,0.65,1.1,,,100
7,Google Cloud Storage,asia-east1,Taiwan,0.000541,Google,0.65,1.1,,,100
8,Google Cloud Storage,asia-east2,Hong Kong,0.000626,Google,0.65,1.1,,,100
9,Google Cloud Storage,asia-northeast1,Japan,0.000524,Google,0.65,1.1,,,100
10,Google Cloud Storage,asia-northeast2,Japan,0.000524,Google,0.65,1.1,,,100
11,Google Cloud Storage,asia-northeast3,South Korea,0.00054,Google,0.65,1.1,,,100
12,Google Cloud Storage,asia-south1,India,0.000723,Google,0.65,1.1,,,100
13,Google Cloud Storage,asia-southeast1,Singapore,0.000493,Google,0.65,1.1,,,100
14,Google Cloud Storage,asia-southeast2,Indonesia,0.000772,Google,0.65,1.1,,,100
15,Google Cloud Storage,australia-southeast1,Australia,0.000725,Google,0.65,1.1,,,100
16,Google Cloud Storage,europe-north1,Finland,0.000181,Google,0.65,1.1,,,100
17,Google Cloud Storage,europe-west1,Belgium,0.000196,Google,0.65,1.1,,,100
18,Google Cloud Storage,europe-west2,England,0.000257,Google,0.65,1.1,,,100
19,Google Cloud Storage,europe-west3,Germany,0.000319,Google,0.65,1.1,,,100
20,Google Cloud Storage,europe-west4,Netherlands,0.000474,Google,0.65,1.1,,,100
21,Google Cloud Storage,europe-west6,Switzerland,2.9e-05,Google,0.65,1.1,,,100
22,Google Cloud Storage,northamerica-northeast1,Canada,0.000143,Google,0.65,1.1,,,100
23,Google Cloud Storage,southamerica-east1,Brazil,0.000109,Google,0.65,1.1,,,100
24,Amazon S3,us-east-1,,0.000415755,EPA,0.65,1.125,United States,SERC,0
25,Amazon S3,us-east-2,,0.000440187,EPA,0.65,1.125,United States,RFC,0
26,Amazon S3,us-west-1,,0.000350861,EPA,0.65,1.125,United States,WECC,0
27,Amazon S3,us-west-2,,0.000350861,EPA,0.65,1.125,United States,WECC,100
28,Amazon S3,us-gov-east-1,,0.000415755,EPA,0.65,1.125,United States,SERC,0
29,Amazon S3,us-gov-west-1,,0.000350861,EPA,0.65,1.125,United States,WECC,100
30,Amazon S3,af-south-1,,0.000928,carbonfootprint.com,0.65,1.125,South Africa,,0
31,Amazon S3,ap-east-1,,0.00081,carbonfootprint.com,0.65,1.125,Hong Kong,,0
32,Amazon S3,ap-south-1,,0.000708,carbonfootprint.com,0.65,1.125,India,,100
33,Amazon S3,ap-northeast-3,,0.000506,carbonfootprint.com,0.65,1.125,Japan,,0
34,Amazon S3,ap-northeast-2,,0.0005,carbonfootprint.com,0.65,1.125,South Korea,,0
35,Amazon S3,ap-southeast-1,,0.0004085,EMA Singapore,0.65,1.125,Singapore,,0
36,Amazon S3,ap-southeast-2,,0.00079,carbonfootprint.com,0.65,1.125,Australia,,0
37,Amazon S3,ap-northeast-1,,0.000506,carbonfootprint.com,0.65,1.125,Japan,,0
38,Amazon S3,ca-central-1,,0.00013,carbonfootprint.com,0.65,1.125,Canada,,100
39,Amazon S3,cn-north-1,,0.000555,carbonfootprint.com,0.65,1.125,China,,0
40,Amazon S3,cn-northwest-1,,0.000555,carbonfootprint.com,0.65,1.125,China,,0
41,Amazon S3,eu-central-1,,0.000338,EEA,0.65,1.125,Germany,,100
42,Amazon S3,eu-west-1,,0.000316,EEA,0.65,1.125,Ireland,,100
43,Amazon S3,eu-west-2,,0.000228,EEA,0.65,1.125,England,,0
44,Amazon S3,eu-south-1,,0.000233,EEA,0.65,1.125,Italy,,0
45,Amazon S3,eu-west-3,,5.2e-05,EEA,0.65,1.125,France,,0
46,Amazon S3,eu-north-1,,8e-06,EEA,0.65,1.125,Sweden,,0
47,Amazon S3,me-south-1,,0.000732,carbonfootprint.com,0.65,1.125,Bahrain,,0
48,Amazon S3,sa-east-1,,7.4e-05,carbonfootprint.com,0.65,1.125,Brazil,,0
49,Azure Blob,Central US,Iowa,0.00047223,EPA,0.65,1.125,,MRO,100
50,Azure Blob,East US,Virginia,0.000415755,EPA,0.65,1.125,,SERC,100
51,Azure Blob,East US 2,Virginia,0.000415755,EPA,0.65,1.125,,SERC,100
52,Azure Blob,East US 3,Georgia,0.000415755,EPA,0.65,1.125,,SERC,100
53,Azure Blob,North Central US,Illinois,0.000440187,EPA,0.65,1.125,,RFC,100
54,Azure Blob,South Central US,Texas,0.000396293,EPA,0.65,1.125,,TRE,100
55,Azure Blob,West Central US,Wyoming,0.000350861,EPA,0.65,1.125,,WECC,100
56,Azure Blob,West US,California,0.000350861,EPA,0.65,1.125,,WECC,100
57,Azure Blob,West US 2,Washington,0.000350861,EPA,0.65,1.125,,WECC,100
58,Azure Blob,West US 3,Arizona,0.000350861,EPA,0.65,1.125,,WECC,100
59,Azure Blob,East Asia,Hong Kong,0.00081,carbonfootprint.com,0.65,1.125,,,100
60,Azure Blob,Southeast Asia,Singapore,0.0004085,EMA Singapore,0.65,1.125,,,100
61,Azure Blob,North Europe,Ireland,0.000316,EEA,0.65,1.125,,,100
